address,href,parcel,price,rooms,sqm,zip,lon,lat
Jan van Eijckstraat 16 -II/III 1077 LK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40612825-jan-van-eijckstraat-16-ii-iii/?navigateSource=resultlist,224,1385,8,224,1077,4.876463,52.3500855
Amstelveenseweg 132 hs+I 1075 XL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40619690-amstelveenseweg-132-hs-i/?navigateSource=resultlist,76,1200,5,76,1075,NA,NA
Celebesstraat 102 -K 1094 EW Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40607449-celebesstraat-102-k/?navigateSource=resultlist,54,250,2,54,1094,NA,NA
Palmstraat 26 3 1015 HS Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40691787-palmstraat-26-3/?navigateSource=resultlist,78,500,4,78,1015,4.884538,52.38182
Arent Janszoon Ernststraat 266 1082 LT Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40699910-arent-janszoon-ernststraat-266/?navigateSource=resultlist,90,450,3,90,1082,4.8764059,52.3323428
Linnaeuskade 38 3 1098 BJ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40534566-linnaeuskade-38-3/?navigateSource=resultlist,114,595,6,114,1098,4.933909,52.356557
Rapenburgerstraat 73 C1 1011 VK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40587717-rapenburgerstraat-73-c1/?navigateSource=resultlist,53,410,2,53,1011,4.9084184,52.36916429999999
Churchill-laan 290 -II 1078 GB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40713228-churchill-laan-290-ii/?navigateSource=resultlist,100,525,4,100,1078,4.8875456,52.3476157
Sarphatistraat 141 D 1018 GD Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40614464-sarphatistraat-141-d/?navigateSource=resultlist,96,480,1,96,1018,4.9120576,52.3622288
Krooswijkhof 7 1083 JA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40733734-krooswijkhof-7/?navigateSource=resultlist,98,485,4,98,1083,4.8828517,52.3344736
Wagenaarstraat 456 1093 EA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40714256-wagenaarstraat-456/?navigateSource=resultlist,117,500,5,117,1093,4.929412999999999,52.3636124
Hudsonstraat 50 II 1057 SN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86168913-hudsonstraat-50-ii/?navigateSource=resultlist,86,499,3,86,1057,4.854197699999999,52.3660886
Waverstraat 85 HUIS 1079 VJ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86116111-waverstraat-85-huis/?navigateSource=resultlist,76,535,4,76,1079,NA,NA
Borgerstraat 133 A 1053 PG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40750174-borgerstraat-133-a/?navigateSource=resultlist,65,350,3,65,1053,4.8642911,52.3644302
C. van Eesterenlaan 358 incl. P 1019 KE Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40792346-c-van-eesterenlaan-358-incl-p/?navigateSource=resultlist,100,489,3,100,1019,4.938096700000001,52.3701707
Gulden Winckelplantsoen 6 3 1055 EL Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40759320-gulden-winckelplantsoen-6-3/?navigateSource=resultlist,60,300,4,60,1055,NA,NA
Da Costakade 69 -3/4 1053 WH Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40622943-da-costakade-69-3-4/?navigateSource=resultlist,142,745,5,142,1053,4.8721939,52.370759
Valentijnkade 45 I 1095 JJ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40628705-valentijnkade-45-i/?navigateSource=resultlist,52,325,3,52,1095,4.942044399999999,52.3586814
Willeskopstraat 64 1107 KV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86081014-willeskopstraat-64/?navigateSource=resultlist,74,225,4,74,1107,4.9855718,52.29518590000001
Van Spilbergenstraat 77 hs 1057 RA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40614161-van-spilbergenstraat-77-hs/?navigateSource=resultlist,64,399,3,64,1057,4.8515605,52.3666738
Van Hallstraat 675 1051 HG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40611411-van-hallstraat-675/?navigateSource=resultlist,78,425,2,78,1051,4.8724281,52.37938699999999
Ward Bingleystraat 7 I 1065 TJ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40693391-ward-bingleystraat-7-i/?navigateSource=resultlist,56,250,3,56,1065,4.8318965,52.3544051
Grensstraat 102 1091 SZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40695159-grensstraat-102/?navigateSource=resultlist,70,450,3,70,1091,4.9114703,52.35421239999999
Admiraal De Ruijterweg 344 -A-III 1055 MZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40681558-admiraal-de-ruijterweg-344-a-iii/?navigateSource=resultlist,67,350,3,67,1055,4.8540522,52.3812589
Hogeweg 43 I 1098 BX Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40622687-hogeweg-43-i/?navigateSource=resultlist,72,495,3,72,1098,4.9332112,52.35542119999999
Tweede Oosterparkstraat 5 III 1091 HT Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40737559-tweede-oosterparkstraat-5-iii/?navigateSource=resultlist,50,300,3,50,1091,4.912344699999999,52.3559761
Oude Looiersstraat 42 I 1016 VJ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40714812-oude-looiersstraat-42-i/?navigateSource=resultlist,60,475,2,60,1016,4.8810734,52.3692235
Huismanshof 11 A 1097 TG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40713478-huismanshof-11-a/?navigateSource=resultlist,138,889,4,138,1097,4.9426168,52.3411035
Haarlemmermeerstraat 68 -III 1058 KC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40712636-haarlemmermeerstraat-68-iii/?navigateSource=resultlist,82,425,4,82,1058,4.8501458,52.3558379
Joos de Moorstraat 15 I 1056 TV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40710315-joos-de-moorstraat-15-i/?navigateSource=resultlist,56,315,3,56,1056,4.8570384,52.3730261
Vianenstraat 158 1106 DE Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86043980-vianenstraat-158/?navigateSource=resultlist,87,250,4,87,1106,4.983975,52.2983082
Binnen Vissersstraat 10 B 1013 GD Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40666409-binnen-vissersstraat-10-b/?navigateSource=resultlist,83,599,4,83,1013,4.8928842,52.37954449999999
Karel du Jardinstraat 49 F 1073 TB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40657675-karel-du-jardinstraat-49-f/?navigateSource=resultlist,79,500,3,79,1073,4.8954852,52.3515945
Jan den Haenstraat 38 E 1055 WG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40529177-jan-den-haenstraat-38-e/?navigateSource=resultlist,51,275,2,51,1055,4.8613472,52.37883369999999
Crynssenstraat 58 III 1058 XZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40581910-crynssenstraat-58-iii/?navigateSource=resultlist,68,375,3,68,1058,4.8563782,52.3630917
Binnen Wieringerstraat 3 1013 EA Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-49290639-binnen-wieringerstraat-3/?navigateSource=resultlist,158,795,5,158,1013,4.8927216,52.3798447
Nicolaas Anslijnstraat 152 1068 WX Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-49106073-nicolaas-anslijnstraat-152/?navigateSource=resultlist,82,245,4,82,1068,4.8081662,52.35741909999999
De Kempenaerstraat 183 hs. 1051 DC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-49963144-de-kempenaerstraat-183-hs/?navigateSource=resultlist,76,360,3,76,1051,4.8706274,52.3788383
Revaleiland (Bouwnr. 15) 1014 ZM Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40462829-revaleiland-bouwnr-15/?navigateSource=resultlist,175,652.819,4,175,1014,4.878906,52.3928525
Jacques Veltmanstraat 181 1065 DB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86191595-jacques-veltmanstraat-181/?navigateSource=resultlist,79,345,3,79,1065,4.832766299999999,52.355281
Laagte Kadijk 16 H 1018 BB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40625219-laagte-kadijk-16-h/?navigateSource=resultlist,107,498,5,107,1018,4.9130212,52.3697943
Alfred Döblinstraat 169 1102 VK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-86065637-alfred-doblinstraat-169/?navigateSource=resultlist,69,190,3,69,1102,NA,NA
Marnixkade 81 4 1015 ZG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40682336-marnixkade-81-4/?navigateSource=resultlist,54,350,2,54,1015,4.877725799999999,52.3771435
Swammerdamstraat 62 huis 1091 RW Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40759031-swammerdamstraat-62-huis/?navigateSource=resultlist,106,525,4,106,1091,4.9082123,52.3566138
Heer Halewijnstraat 22 II 1055 ST Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40609047-heer-halewijnstraat-22-ii/?navigateSource=resultlist,56,285,3,56,1055,4.854428599999999,52.3780588
Gaasterlandstraat 264 1079 RH Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40690825-gaasterlandstraat-264/?navigateSource=resultlist,143,1125,4,143,1079,NA,NA
Gaasterlandstraat 262 1079 RH Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40690823-gaasterlandstraat-262/?navigateSource=resultlist,120,800,3,120,1079,4.8955942,52.3378598
Zuidelijke Wandelweg 169 1079 RK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40690807-zuidelijke-wandelweg-169/?navigateSource=resultlist,140,1050,4,140,1079,4.8955816,52.3381654
Zuidelijke Wandelweg 147 1079 RK Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40690885-zuidelijke-wandelweg-147/?navigateSource=resultlist,143,980,4,143,1079,4.8955816,52.3381654
